DVL2,PSMF1
DVL2,ELOA2
DVL2,UBAC1
DVL2,DVL3
DVL2,NUP62CL
DVL2,DDX41
DVL2,SNF8
DVL2,RNF185
DVL2,PHLDB2
DVL2,PSMD8
DVL2,PRICKLE1
DVL2,LCA5
DVL2,NHLRC1
DVL2,RBFOX1
DVL2,FOXK2
DVL2,PPP1R16B
DVL2,CEP135
DVL2,CEP19
DVL2,DPPA2
DVL2,RNF43
DVL2,RASSF9
DVL2,SASS6
DVL2,CEP128
DVL2,NXF2
DVL2,NXF2B
DVL2,TAZ
PARD6A,DVL2
PARD6A,GRB2
PARD6A,TGFBR1
PARD6A,PIK3R3
PARD6A,YWHAZ
PARD6A,TJP1
PARD6A,SMARCA4
PARD6A,APP
PARD6A,SMURF2
PARD6A,SMURF1
PARD6A,PIK3R4
PARD6A,ORC2
PARD6A,EPHB4
PARD6A,PRKCZ
PARD6A,RICTOR
PARD6A,TUBG1
PARD6A,HTT
PARD6A,YWHAH
PARD6A,RAC1
PARD6A,CDC42
PARD6A,MAP2K5
PARD6A,PRKCI
PARD6A,PRKCG
PARD6A,MARK2
PARD6A,PARD6B
PARD6A,PATJ
PARD6A,ELP3
PARD6A,TCP10
PARD6A,VHL
PARD6A,LLGL2
PARD6A,FBXO31
PARD6A,DGKZ
PARD6A,CDH5
PARD6A,CRB3
PARD6A,WDR83
PARD6A,PNMA1
PARD6A,KIF1B
PARD6A,PLCB1
PARD6A,TP53BP2
PARD6A,ARHGAP17
PARD6A,RNF146
PARD6A,PDRG1
PARD6A,MPP5
PARD6A,PRKCH
PARD6A,PIH1D1
PARD6A,MARK4
PARD6A,ECT2
PARD6A,RHOQ
PARD6A,PLXNA3
PARD6A,SUGT1
PARD6A,LLGL1
PARD6A,PLCB3
PARD6A,ASH1L
PARD6A,PARD3
PARD6A,DPP9
GRB2,DVL2
GRB2,PARD6A
GRB2,GAB1
GRB2,EGFR
GRB2,EGF
GRB2,PIK3CA
GRB2,PIK3R1
GRB2,SRC
GRB2,PXN
GRB2,KPNA2
GRB2,SMARCA5
GRB2,BRCA2
GRB2,XRCC6
GRB2,HEXB
GRB2,SOS1
GRB2,TSC2
GRB2,TPX2
GRB2,CDK5R1
GRB2,TFAP2A
GRB2,ESR1
GRB2,SMAD3
GRB2,FASLG
GRB2,TNFRSF1A
GRB2,NGFR
GRB2,BAD
GRB2,PAK2
GRB2,CAPZB
GRB2,DROSHA
GRB2,BAZ2A
GRB2,TF
GRB2,PIK3CB
GRB2,PIK3R2
GRB2,PIK3R3
GRB2,PIK3CG
GRB2,PTPN13
GRB2,GAB2
GRB2,PTPN6
GRB2,PTPN11
GRB2,KDR
GRB2,ANXA2
GRB2,ITCH
GRB2,GABBR1
GRB2,TNPO1
GRB2,INSR
GRB2,IL2RB
GRB2,JAK1
GRB2,IL2RG
GRB2,PTK2B
GRB2,JAK2
GRB2,CBL
GRB2,B2M
GRB2,LCP2
GRB2,SPRY2
GRB2,DAB2
GRB2,BIN1
GRB2,FOXH1
GRB2,S100A9
GRB2,S100A8
GRB2,GSTP1
GRB2,YWHAE
GRB2,ACTN1
GRB2,ITGA6
GRB2,ITGB4
GRB2,FGFR1
GRB2,ITGA2B
GRB2,KHDRBS1
GRB2,ARAP1
GRB2,DOK1
GRB2,PTPN1
GRB2,YWHAZ
GRB2,ITGA4
GRB2,TEK
GRB2,INPP5D
GRB2,PLCG1
GRB2,PPIA
GRB2,GAD1
GRB2,FLNB
GRB2,TEC
GRB2,VAV1
GRB2,BLNK
GRB2,FLT3
GRB2,GHR
GRB2,PAG1
GRB2,CSK
GRB2,PTPN22
GRB2,LAT
GRB2,NCK1
GRB2,TNFRSF14
GRB2,CD28
GRB2,CLTC
GRB2,APP
GRB2,PDGFRB
GRB2,PDGFRA
GRB2,TGFBR2
GRB2,YWHAB
GRB2,CD19
GRB2,MAPK1
GRB2,C6
GRB2,TRIM27
GRB2,RBBP7
GRB2,PAX3
GRB2,TAB1
GRB2,VCP
GRB2,STAMBP
GRB2,DAG1
GRB2,DDX17
GRB2,HDAC4
GRB2,HNRNPC
GRB2,PRMT5
GRB2,WDR77
GRB2,ERBB4
GRB2,EGR1
GRB2,ARHGAP35
GRB2,RASA1
GRB2,BCAR1
GRB2,FLT1
GRB2,KIT
GRB2,MET
GRB2,HSPA5
GRB2,CFL1
GRB2,PLXNB1
GRB2,ERBB2
GRB2,PTPRC
GRB2,SEMA7A
GRB2,FYN
GRB2,MLXIPL
GRB2,PAK1
GRB2,FLNA
GRB2,CDKN1B
GRB2,EIF4A1
GRB2,PSEN1
GRB2,PPP1CC
GRB2,REL
GRB2,HSP90AA1
GRB2,PTK2
GRB2,KHSRP
GRB2,DLG4
GRB2,IL6ST
GRB2,CUL3
GRB2,DCTN2
GRB2,PEX13
GRB2,WASL
GRB2,GRB10
GRB2,AFDN
GRB2,PLCG2
GRB2,CCL5
GRB2,EPHB1
GRB2,EPOR
GRB2,NTRK1
GRB2,EPHA2
GRB2,ASAP2
GRB2,FGFR3
GRB2,FGFR2
GRB2,EP300
GRB2,CRKL
GRB2,RAPGEF1
GRB2,PITX2
GRB2,ASAP1
GRB2,TUBA1B
GRB2,SPEN
GRB2,DOCK1
GRB2,CRK
GRB2,CBLB
GRB2,DTX1
GRB2,SOS2
GRB2,ELK1
GRB2,ABI1
GRB2,RACGAP1
GRB2,AR
GRB2,CYTH2
GRB2,RAB11A
GRB2,HSPA8
GRB2,SH3KBP1
GRB2,SH2B2
GRB2,SH2B1
GRB2,IRS1
GRB2,FLT4
GRB2,SHC1
GRB2,SP1
GRB2,PPP1R12A
GRB2,PPP1CB
GRB2,TP63
GRB2,RUVBL2
GRB2,CSF1R
GRB2,MAPK9
GRB2,SPTBN1
GRB2,GIT1
GRB2,ARHGEF7
GRB2,RUVBL1
GRB2,MAPK14
GRB2,EPHB2
GRB2,AP2A1
GRB2,AP2M1
GRB2,MAPK12
GRB2,ABL1
GRB2,PRKDC
GRB2,CTTN
GRB2,IRS2
GRB2,CCR5
GRB2,HTT
GRB2,HSPB1
GRB2,CD247
GRB2,NKX2-5
GRB2,ERBB3
GRB2,PPARA
GRB2,IL3RA
GRB2,YWHAH
GRB2,MST1R
GRB2,DST
GRB2,PLEC
GRB2,RAC1
GRB2,ERBIN
GRB2,VIM
GRB2,YWHAQ
GRB2,ZAP70
GRB2,SYK
GRB2,WIPF1
GRB2,ITK
GRB2,SKAP1
GRB2,DNM2
GRB2,VASP
GRB2,TUBB
GRB2,TRAT1
GRB2,PTPN12
GRB2,TXK
GRB2,MUC1
GRB2,WAS
GRB2,SKAP2
GRB2,NCL
GRB2,SHB
GRB2,TUBA4A
GRB2,VAV3
GRB2,CD2AP
GRB2,LAX1
GRB2,HRAS
GRB2,HNRNPK
GRB2,VAV2
GRB2,LAT2
GRB2,BTK
GRB2,PTPN18
GRB2,AGER
GRB2,SOCS1
GRB2,PPP1CA
GRB2,AES
GRB2,SLC25A4
GRB2,DDX5
GRB2,NONO
GRB2,PNRC1
GRB2,PRDX1
GRB2,DAPK3
GRB2,GSN
GRB2,CYLD
GRB2,IRS4
GRB2,RPS6KA1
GRB2,INPPL1
GRB2,REPS2
GRB2,CBLC
GRB2,KRT18
GRB2,FRS2
GRB2,DNM1
GRB2,PRKAR1A
GRB2,TNK2
GRB2,CDC42
GRB2,PIK3C2B
GRB2,ERRFI1
GRB2,PLD2
GRB2,IQGAP1
GRB2,MAP3K1
GRB2,GRB7
GRB2,FRS3
GRB2,KRT17
GRB2,KRT8
GRB2,MAP2K5
GRB2,KRT7
GRB2,SNRPD2
GRB2,PTPN23
GRB2,ELK3
GRB2,ID4
GRB2,YWHAG
GRB2,NFYB
GRB2,AP2B1
GRB2,CDC27
GRB2,PPP2R2A
GRB2,OLIG1
GRB2,HSP90AB1
GRB2,PSMC2
GRB2,KCNQ1
GRB2,RPS13
GRB2,IKBKE
GRB2,RPS11
GRB2,SMARCC1
GRB2,PSMD13
GRB2,SMARCC2
GRB2,ACTL6A
GRB2,RPL4
GRB2,MCC
GRB2,CASP2
GRB2,POLR1B
GRB2,ADRB2
GRB2,GFAP
GRB2,NR1H4
GRB2,EIF4A3
GRB2,MYH10
GRB2,RPL21
GRB2,RPL31
GRB2,IRF5
GRB2,TYRO3
GRB2,PPP3CA
GRB2,RPS3
GRB2,SNRNP200
GRB2,LMO7
GRB2,SMARCD3
GRB2,DNAJA3
GRB2,ALAS2
GRB2,LIMA1
GRB2,PTBP1
GRB2,RPL3
GRB2,WBP11
GRB2,ADRB1
GRB2,FUBP3
GRB2,COPB1
GRB2,LNX1
GRB2,TLR9
GRB2,GAPDH
GRB2,BCL2A1
GRB2,RPS20
GRB2,VPS37C
GRB2,TCP1
GRB2,SRSF10
GRB2,UBC
GRB2,ACTN2
GRB2,SLC25A5
GRB2,MS4A2
GRB2,KRT14
GRB2,A2M
GRB2,HNRNPA2B1
GRB2,RPS15A
GRB2,RPS8
GRB2,ALOX5
GRB2,CSRP1
GRB2,RPL23
GRB2,RYR1
GRB2,ACTN4
GRB2,MYH9
GRB2,KRT16
GRB2,ITIH4
GRB2,KRT85
GRB2,EFTUD2
GRB2,SH2D4A
GRB2,PKM
GRB2,EEF1G
GRB2,LMO2
GRB2,SLC25A6
GRB2,KRT1
GRB2,SPRY1
GRB2,POLR2A
GRB2,FTH1
GRB2,FSCN1
GRB2,HGS
GRB2,DYNLL1
GRB2,FOXJ1
GRB2,DAP3
GRB2,EGLN3
GRB2,RPL13
GRB2,RPS3A
GRB2,EEF2
GRB2,MYLK
GRB2,MSI2
GRB2,RPL10
GRB2,THRAP3
GRB2,CAT
GRB2,PDE4D
GRB2,AXL
GRB2,CPSF7
GRB2,KRT33B
GRB2,ACTG1
GRB2,TAOK2
GRB2,TFG
GRB2,SPRY4
GRB2,DCTN1
GRB2,ARHGAP32
GRB2,AJUBA
GRB2,DCUN1D1
GRB2,KRT2
GRB2,CCT5
GRB2,BABAM2
GRB2,ABRAXAS2
GRB2,FLNC
GRB2,STRADB
GRB2,BAG3
GRB2,TUBA1C
GRB2,FBF1
GRB2,PDIA2
GRB2,PHGDH
GRB2,FANCA
GRB2,KRT15
GRB2,MED14
GRB2,SMARCD2
GRB2,SHMT2
GRB2,PABPC1
GRB2,SRP14
GRB2,RPS16
GRB2,HNRNPH2
GRB2,SMU1
GRB2,ATAD3A
GRB2,PSMD11
GRB2,SEPT9
GRB2,RPS9
